seq,id,title,category,impl_status,req_ref,screen,route,page_entry,depends_on,expected_files,verify,priority
1,PAGE-SCR001,SCR-001 `/` Page Owner,PAGE_OWNER,IMPLEMENT,"REQ-FUNC-001~010,068,069",SCR-001,`/`,`src/app/page.tsx`,C-SCR001-HERO-SEARCH; C-SCR001-DEST-GRIDS; C-SCR001-THEME-CHIPS; C-SCR001-DEST-DETAIL-DRAWER; C-SCR001-SAFETY-GRID; C-SCR001-SAFETY-DETAIL-DRAWER; C-SCR001-MATES-PREVIEW; C-SCR001-FOUNDER-SPLIT; DATA-DESTINATIONS; DATA-SAFETY; DATA-REPRESENTATIVE; API-MATES; C-GLOBAL-SEO-HELPER,`src/app/page.tsx`,E2E-PUBLIC-SMOKE; MANUAL-RESPONSIVE-VISUAL,P0
2,PAGE-SCR002,SCR-002 `/about` Page Owner,PAGE_OWNER,IMPLEMENT,REQ-FUNC-057~063,SCR-002,`/about`,`src/app/about/page.tsx`,C-SCR002-PROFILE-HERO; C-SCR002-INTRO-PHILOSOPHY; C-SCR002-TIMELINE; C-SCR002-COUNTRY-CHIPS; C-SCR002-GALLERY; C-SCR002-MEMORABLE-CTA; C-SCR002-CONTACT-LINKS; DATA-REPRESENTATIVE; DATA-DESTINATIONS; C-GLOBAL-SEO-HELPER,`src/app/about/page.tsx`,E2E-PUBLIC-SMOKE; MANUAL-RESPONSIVE-VISUAL; MANUAL-CONTENT-REVIEW,P0
3,PAGE-SCR003,SCR-003 `/travel-tools` Page Owner,PAGE_OWNER,IMPLEMENT,"REQ-FUNC-011~026,027,028,031,032,080",SCR-003,`/travel-tools`,`src/app/travel-tools/page.tsx`,C-SCR003-INTRO-TABS; C-SCR003-FLIGHT-FORM; C-SCR003-HOTEL-FORM; C-SCR003-MATE-COMPOSER; C-SCR003-NONTRANSMIT-TIPS; API-MATES; C-GLOBAL-TOAST; C-GLOBAL-POLICY-TERMS; C-GLOBAL-POLICY-SAFETY-GUIDE; C-GLOBAL-SEO-HELPER,`src/app/travel-tools/page.tsx`,E2E-TRAVEL-TOOLS; E2E-MATE-AUTH; MANUAL-EXTERNAL-LINKS,P0
4,PAGE-SCR004,SCR-004 `/mates` Page Owner,PAGE_OWNER,IMPLEMENT,"REQ-FUNC-030,033~040",SCR-004,`/mates`,`src/app/mates/page.tsx`,C-SCR004-INTRO-CTA; C-SCR004-FILTER-SUMMARY; C-SCR004-LIST-GRID; C-SCR004-DETAIL-PANEL; C-SCR004-PARTICIPATE-FLOW; C-SCR004-REPORT-MODAL; C-SCR004-BLOCK-ACTION; C-SCR004-STEPS-SAFETY; API-MATES; API-MATE-REQUESTS; API-MATE-REPORT; API-BLOCKLIST; C-GLOBAL-TOAST; C-GLOBAL-SEO-HELPER,`src/app/mates/page.tsx`,E2E-MATE-AUTH; MANUAL-RESPONSIVE-VISUAL,P0
5,PAGE-SCR005,SCR-005 `/account` Page Owner,PAGE_OWNER,IMPLEMENT,"REQ-FUNC-028,029,040,041,066,077",SCR-005,`/account`,`src/app/account/page.tsx`,C-SCR005-AUTH-GUEST; C-SCR005-PROFILE; C-SCR005-MY-ACTIVITY; C-SCR005-ADMIN-REPORTS; C-SCR005-ADMIN-EXTERNAL-URL; C-SCR005-ROLE-GATE; API-AUTH-CALLBACK; API-ADMIN-REPORTS; API-ADMIN-EXTERNAL-LINKS; API-BLOCKLIST; C-GLOBAL-POLICY-TERMS; C-GLOBAL-POLICY-PRIVACY; C-GLOBAL-SEO-HELPER,`src/app/account/page.tsx`,E2E-MATE-AUTH; MANUAL-A11Y-KEYBOARD,P0
6,C-SCR001-HERO-SEARCH,Hero 검색 입력 로직 연결,COMPONENT,IMPLEMENT,"REQ-FUNC-003,010",SCR-001,`/`,`src/app/page.tsx`(사용처),DATA-DESTINATIONS,`src/components/home/hero-search.tsx`,UNIT-TRAVEL-DATES(해당없음); E2E-PUBLIC-SMOKE,P0
7,C-SCR001-DEST-GRIDS,국내/해외 여행지 Card Grid,COMPONENT,IMPLEMENT,"REQ-FUNC-001,002,004,005,009",SCR-001,`/`,`src/app/page.tsx`(사용처),DATA-DESTINATIONS,`src/components/home/destination-grids.tsx`,E2E-PUBLIC-SMOKE; MANUAL-CONTENT-REVIEW,P0
8,C-SCR001-THEME-CHIPS,여행 동기 Chip 필터,COMPONENT,IMPLEMENT,REQ-FUNC-002,SCR-001,`/`,`src/app/page.tsx`(사용처),C-SCR001-DEST-GRIDS,`src/components/home/theme-chips.tsx`,E2E-PUBLIC-SMOKE,P1
9,C-SCR001-DEST-DETAIL-DRAWER,여행지 상세 Drawer(즐겨찾기·공유 포함),COMPONENT,IMPLEMENT,"REQ-FUNC-004,006,007,009,068,069",SCR-001,`/`,`src/app/page.tsx`(사용처),DATA-DESTINATIONS; C-SCR001-SAFETY-DETAIL-DRAWER,`src/components/home/destination-detail-drawer.tsx`,E2E-PUBLIC-SMOKE; MANUAL-A11Y-KEYBOARD,P0
10,C-SCR001-SAFETY-GRID,국가별 주의사항 Card Grid,COMPONENT,IMPLEMENT,"REQ-FUNC-047,048,050,051,052; REQ-NF-028",SCR-001,`/`,`src/app/page.tsx`(사용처),DATA-SAFETY,`src/components/home/safety-grid.tsx`,E2E-PUBLIC-SMOKE,P0
